climat Bouchagroun,,,,,,,,,,,,,,
PS,2001,100.92,101.04,100.44,100.43,100.21,100.33,100.16,100.32,100.25,100.86,100.73,101.05,100.56
PS,2002,101.72,101.1,100.5,100.17,100.25,100.37,100.11,100.17,100.34,100.71,100.55,100.92,100.57
PS,2003,100.81,100.83,101.06,100.19,100.37,100.33,100.31,100.42,100.57,100.36,100.69,100.88,100.57
PS,2004,100.78,101.04,100.82,100.24,100.23,100.46,100.35,100.32,100.71,100.56,100.77,100.73,100.58
PS,2005,101.38,100.62,100.64,100.38,100.42,100.38,100.22,100.24,100.51,100.76,100.7,100.96,100.6
PS,2006,100.88,100.55,100.54,100.23,100.38,100.49,100.41,100.06,100.44,100.55,101.13,101.37,100.59
PS,2007,101.54,100.8,100.55,100.25,100.27,100.06,100.32,100.1,100.49,100.49,100.68,101.2,100.56
PS,2008,101.38,101.49,100.32,100.26,99.97,100.24,100.19,100.17,100.32,100.69,100.67,100.83,100.54
PS,2009,100.44,100.61,100.48,100.34,100.52,100.3,100.36,100.22,100.39,100.57,100.87,100.42,100.46
PS,2010,100.45,100.1,100.64,100.39,100.23,99.99,100.22,100.18,100.32,100.31,100.28,100.57,100.31
PS,2011,100.89,100.81,100.81,100.28,100.49,100.37,100.04,100.25,100.4,100.73,100.7,101.41,100.6
PS,2012,101.32,100.9,101.14,99.93,100.43,100.24,100.19,100.35,100.38,100.35,100.43,101.13,100.57
PS,2013,100.89,100.54,99.99,100.18,100.1,100.34,100.32,100.28,100.43,100.65,100.52,101.37,100.47
PS,2014,100.68,100.73,100.51,100.33,100.29,100.27,100.16,100.15,100.34,100.66,100.4,101.1,100.47
PS,2015,101.22,100.51,100.71,100.76,100.43,100.36,100.29,100.27,100.35,100.5,101.22,102.03,100.72
PS,2016,101.31,100.94,100.35,100.06,100.26,100.22,100.36,100.44,100.52,100.55,100.66,101.43,100.59
PS,2017,100.93,100.97,100.8,100.55,100.37,100.3,100.32,100.36,100.51,101,100.81,101.34,100.69
PS,2018,101.21,100.3,100.02,100.19,100.1,100.16,100.12,100.3,100.61,100.4,100.66,101.46,100.46
PS,2019,100.76,101.31,100.96,100.15,100.23,100.15,100.11,100.23,100.5,100.59,100.34,100.93,100.52
PS,2020,101.5,101.48,100.5,100.37,100.41,100.17,100.22,100.1,100.47,100.71,101.11,100.61,100.63
PS,2021,100.77,101.06,100.91,100.25,100.37,100.2,100.13,100.14,100.41,100.69,100.46,101.09,100.54
PS,2022,101.51,101.27,100.65,100.08,100.47,100.19,100.32,100.07,100.2,101.02,100.85,100.94,100.63
TS,1981,7.86,10.81,18.63,21.59,26.59,33.24,33.83,33.26,28.76,23.12,14.77,11.4,22.05
TS,1982,10.65,11.83,15.26,19.46,24.94,33.3,36.48,34.96,29.98,22.73,14.22,8.79,21.94
TS,1983,7.9,10.53,15.45,21.7,26.36,32.27,35.55,34.73,30.4,23.63,17.33,10.12,22.23
TS,1984,9.59,10.95,15.31,21.63,25.72,31.78,34.82,33.88,28.88,21.42,15.06,10.37,21.65
TS,1985,7.9,13.65,14.57,21.68,25.25,33.7,36.04,34.72,29,22.35,15.95,10.25,22.12
TS,1986,9.2,11.51,15.05,19.32,27.98,32.1,35.07,35.58,30.74,22.62,15.08,10.08,22.09
TS,1987,7.56,11.76,15.7,21.33,26.48,32.54,36.17,36.04,32.12,23.62,15.12,11.86,22.58
TS,1988,10.55,12.65,16.44,22.62,28.59,32.19,37.76,36.16,29.16,23.06,16.12,9.97,22.98
TS,1989,8.83,11.45,17.18,20.45,26.98,30.96,35.36,36.19,29.97,23.79,16.58,12.72,22.61
TS,1990,10.51,13.67,17.13,20.65,25.05,31.84,35.12,33.01,32.17,25.31,16.19,8.84,22.5
TS,1991,8.82,10.18,15.88,18.8,22.79,31.87,35.98,35.08,30.06,21.85,13.65,9.23,21.25
TS,1992,7.64,11.05,15.29,18.9,24.84,29.66,34.11,34.42,30.08,22.26,15.31,10.15,21.17
TS,1993,8.11,10.94,14.62,20.21,26.28,33.6,35.27,35.29,29.16,22.82,15.52,10.34,21.9
TS,1994,10.46,11.26,17.13,19.6,28.88,33.69,36.87,36.69,30.26,22.47,16.82,11.01,23
TS,1995,9.5,14.4,15.54,19.74,27.49,32.16,36.28,35.3,27.84,21.96,15.38,12.05,22.35
TS,1996,11.08,10.88,15.05,19.65,25.06,29.68,32.69,34.51,27.5,20.39,14.75,10.75,21.04
TS,1997,10.19,13.52,16.39,19.35,26.95,34.1,35.99,34.8,28.04,22.64,15.28,10.19,22.33
TS,1998,9.55,12.67,15.5,21.04,25.16,32.28,35.88,35.55,30.76,21.46,14.9,8.69,22
TS,1999,9.01,9.4,15.12,20.82,28.55,34.21,36.17,36.58,31.79,25.08,15.22,9.5,22.7
TS,2000,7.26,11.7,16.37,21.91,29.08,32.02,35.72,34.74,29.8,20.91,14.69,10.81,22.12
TS,2001,9.33,10.64,19.19,21.5,27.08,34.28,37.22,35.77,31.08,26.31,15.88,9.19,23.2
TS,2002,8.19,12.18,17.62,21.87,26.95,33.37,36.08,34.31,30.09,23,15.52,11.38,22.6
TS,2003,9.44,9.76,15.17,20.77,26.59,33.97,38.01,36.19,29.93,23.71,15.23,9.52,22.44
TS,2004,9.83,12.05,16.15,19.95,23.56,30.23,34.93,35.58,28.91,23.79,13.87,9.9,21.59
TS,2005,7.08,8.58,15.99,20.66,28.02,32.67,36.6,34.85,29.96,23.69,15.08,8.91,21.92
TS,2006,7.48,10.32,16.06,22.37,28.54,31.28,36.64,35.33,27.73,24.55,15.69,11.08,22.33
TS,2007,10.2,13.36,15.32,20.26,26.87,33.69,35.59,35.28,29.66,22.88,14.38,10.43,22.38
TS,2008,9.39,11.87,16.87,23.12,26.92,32.61,37.48,35.98,30.3,22.7,13.33,8.92,22.49
TS,2009,9.84,10,14.52,17.62,25.33,32.44,37.48,35.94,27.87,22.12,15.2,11.45,21.73
TS,2010,10.48,13.01,16.65,22.14,24.83,32.45,37.21,36.47,30.48,22.16,15.23,10.46,22.69
TS,2011,9.76,11.22,15.51,22.53,26.18,31.73,37.13,36.07,31.36,22.18,15.48,10.94,22.57
TS,2012,9.26,8.73,15.63,20.83,28.15,35.86,38.25,37.31,29.65,24.57,17.05,10.12,23
TS,2013,10.26,10.31,17.39,21.92,26.48,31.25,36.44,34.52,30.12,25.03,15.53,9.83,22.5
TS,2014,9.87,12.46,15.1,22.69,27.59,31.64,36.22,36.59,32.15,24.29,16.82,10.51,23.05
TS,2015,9.67,10.79,15.83,23.07,29.21,32.95,36.62,36.33,30.4,23.86,16.5,10.54,23.05
TS,2016,10.61,13.12,15.83,22.37,28.06,33.97,36.61,35.37,31.01,25.33,15.78,11.71,23.34
TS,2017,8.1,12.78,17.57,21.5,29.7,33.88,37.18,36.65,29.79,22.64,14.41,9.58,22.87
TS,2018,10.76,10.73,16.41,22.47,26.78,33.35,38.9,35.33,32.13,21.8,14.93,11.27,22.98
TS,2019,9.34,11.41,16.58,20.94,25.84,34.74,37.84,37.44,30.12,24.41,14.3,11.91,22.98
TS,2020,9.52,14.14,17.04,22.04,28.87,33.31,37.46,37.38,29.87,22.58,17.55,11.23,23.44
TS,2021,10.63,13.9,16.21,22.76,28.68,35.58,38.7,38.52,32.78,23.77,15.48,10.45,24.01
TS,2022,8.83,12.99,15.82,21.23,28.25,36.78,38.73,37.94,33.27,24.78,17.45,14.01,24.23
T2M,1981,8.41,11,18.3,20.66,25.1,30.94,31.57,31.23,27.93,23.11,15.37,12.09,21.37
T2M,1982,11.39,12.29,14.89,18.61,23.83,31.58,34.69,33.11,28.67,22.24,14.64,9.51,21.33
T2M,1983,9.35,10.76,15.19,20.77,24.9,30.12,33.62,33.07,28.67,22.83,17.47,10.76,21.51
T2M,1984,10.28,10.97,14.65,20.37,23.83,29.65,32.57,32.02,27.51,20.8,15.49,11.08,20.8
T2M,1985,8.37,14.24,14.01,20.69,23.86,31.64,33.92,32.73,27.87,22.01,16.31,11.15,21.43
T2M,1986,9.61,11.62,14.58,18.41,26.55,30.05,32.68,33.76,29.01,22.51,15.42,10.66,21.3
T2M,1987,8.43,11.74,15.18,20.51,24.6,30.65,34.08,34.38,30.65,23.34,15.44,12.91,21.88
T2M,1988,11.1,12.74,15.77,21.43,27.03,30.24,35.3,34.17,27.74,23.26,16.42,10.8,22.2
T2M,1989,9.91,12.01,16.86,19.44,25.09,28.76,33.15,34.28,28.93,23.01,16.73,13.37,21.86
T2M,1990,11.01,14.27,16.51,19.42,23.77,30.49,32.9,31.21,31.26,24.7,16.15,9.7,21.82
T2M,1991,9.83,10.44,15.63,17.74,21.28,29.63,33.83,33.04,28.8,21.72,14.4,10.08,20.59
T2M,1992,8.7,11.53,14.78,18.1,23.4,27.58,31.55,32.48,28.58,21.99,16.38,11.11,20.54
T2M,1993,9.36,11.04,14.27,19.26,24.87,31.52,32.98,33.37,27.81,22.55,15.76,11.32,21.23
T2M,1994,11.12,11.83,17,18.26,27.42,31.38,34.44,34.71,28.85,22.01,17.37,11.92,22.26
T2M,1995,10.14,14.58,15.02,18.37,25.69,29.98,33.58,33.07,26.83,21.8,15.65,12.78,21.5
T2M,1996,11.64,11.16,14.8,18.84,23.75,27.57,31.23,32.94,26.37,20.05,15.26,11.45,20.45
T2M,1997,11.02,13.92,15.65,18.37,25.51,32.15,33.87,32.66,26.94,22.33,15.74,10.96,21.64
T2M,1998,10.3,13.05,15.4,20.15,23.72,30.55,33.53,33.36,29.41,20.99,15.11,9.6,21.3
T2M,1999,9.9,9.74,15.08,20.05,27.39,32.36,33.83,35.23,30.15,24.68,15.48,10.17,22.08
T2M,2000,8.41,12.14,16.14,20.83,27.56,29.66,33.48,32.98,28.49,20.47,15.4,11.87,21.48
T2M,2001,10.01,11.19,19.01,20,25.34,31.73,35.06,33.65,29.64,25.99,16.17,9.98,22.38
T2M,2002,9.46,12.72,17.05,20.54,25.31,31.25,33.71,32.48,28.48,22.48,15.58,12.03,21.8
T2M,2003,10.06,9.98,14.74,19.96,25.12,31.64,35.8,33.89,28.3,23.33,15.57,10.13,21.61
T2M,2004,10.68,12.55,15.87,18.98,22.01,28.74,32.75,33.55,27.48,23.76,14.31,10.58,20.97
T2M,2005,8.2,8.9,15.83,19.62,26.51,30.59,34.5,32.84,28.28,23.26,15.36,9.62,21.2
T2M,2006,8.01,10.62,15.91,21.56,27.15,29.79,34.03,33.15,26.65,24.02,16.18,11.88,21.65
T2M,2007,11.36,13.4,15.11,19.23,25.15,31.54,33.05,33.31,28.62,22.4,14.72,10.97,21.62
T2M,2008,10.4,12.21,16.35,21.67,25.32,29.81,35.15,33.69,28.88,22.15,13.73,9.76,21.62
T2M,2009,10.51,10.19,14.26,16.8,24.17,30.45,35.27,33.9,26.66,21.73,15.73,12.14,21.05
T2M,2010,11.08,13.26,16.33,20.94,23.21,30.3,34.62,34.16,28.65,21.68,15.44,11.04,21.77
T2M,2011,10.52,11.4,14.95,21.35,24.44,29.32,34.6,33.75,29.81,21.44,15.94,11.62,21.65
T2M,2012,10.15,8.77,15.15,19.95,25.9,33.59,35.97,35.1,28.4,23.83,17.23,11.06,22.14
T2M,2013,11.02,10.53,16.99,20.78,24.75,29.06,33.91,32.06,28.69,24.87,15.54,10.84,21.65
T2M,2014,10.44,12.55,14.8,21.56,25.6,29.61,33.73,34.23,30.82,24.03,17.15,11.08,22.18
T2M,2015,10.35,10.68,15.31,21.76,27.19,30.34,33.78,33.92,28.92,23.21,16.6,11.97,22.07
T2M,2016,11.45,13.19,15.3,21.48,26.24,31.36,33.87,32.69,29.02,24.99,16.21,12.36,22.37
T2M,2017,8.7,13.13,17.02,20.34,27.67,31.44,34.43,34.26,28.1,21.91,14.87,10.13,21.88
T2M,2018,11.33,10.8,16,21.21,24.74,30.54,36.45,32.43,30.38,21.38,15.21,12.3,21.96
T2M,2019,9.71,11.63,16.05,19.87,23.83,32.65,35.44,35.05,29.07,23.54,14.46,12.79,22.07
T2M,2020,10.72,14.83,16.4,20.92,27.17,30.85,34.61,35.11,28.36,21.83,17.62,11.72,22.53
T2M,2021,11.14,13.93,15.54,21.26,26.93,33.71,36.41,36.58,31.55,22.76,15.58,11.27,23.11
T2M,2022,9.76,13.21,15.31,20.14,26.12,34.45,35.8,35.33,31.78,24.5,17.6,15.02,23.3
QV2M,1981,4.09,4.52,5.98,5.8,5.68,8.18,8,7.63,8.97,6.77,5.43,5.43,6.41
QV2M,1982,4.7,5.31,4.82,6.04,7.39,7.75,6.59,7.69,8.67,6.9,6.65,4.82,6.47
QV2M,1983,3.97,4.39,5,5.49,6.1,7.02,6.47,7.93,7.45,6.84,6.41,4.58,5.98
QV2M,1984,4.7,4.27,4.52,5.37,4.88,5.98,5.8,7.69,7.51,7.08,5.98,5.07,5.74
QV2M,1985,4.21,5.07,4.82,5.13,6.53,6.9,6.29,6.71,7.75,7.14,6.29,5.07,5.98
QV2M,1986,4.52,4.7,5.13,5,6.59,7.08,7.08,6.96,7.93,8.48,5.8,5.07,6.23
QV2M,1987,4.03,4.76,5.13,5.31,6.16,7.26,7.51,7.51,7.2,6.9,5.43,5.49,6.04
QV2M,1988,4.7,4.39,4.39,5.31,6.04,8.24,7.14,7.57,7.39,7.39,6.53,4.88,6.16
QV2M,1989,4.46,4.33,4.64,5.13,5.62,7.57,7.39,8.54,8.85,8,5.86,5.68,6.35
QV2M,1990,5.31,5,5.55,6.23,8.18,8.48,8.12,10.31,8.48,6.84,6.71,4.58,6.96
QV2M,1991,4.64,4.33,5.62,5.49,5.92,7.81,7.45,8.18,9.7,8.06,5.43,4.76,6.47
QV2M,1992,4.64,4.64,5.49,5.62,7.08,6.65,8.54,7.93,8.18,6.16,6.35,5.13,6.35
QV2M,1993,4.09,4.82,4.82,5.13,6.04,8.06,7.32,7.08,7.51,6.23,6.35,5,6.04
QV2M,1994,4.94,4.09,5,4.58,5.19,6.29,6.41,7.08,8.97,9.09,6.77,5.19,6.16
QV2M,1995,4.58,5.25,4.88,4.7,5.55,7.39,7.87,8,8.85,7.93,5.55,5.92,6.41
QV2M,1996,5.55,4.7,5.68,6.04,7.08,8.79,8.48,8.61,8.48,6.1,5.43,5.07,6.65
QV2M,1997,4.94,4.46,4.21,5.86,6.29,6.71,7.2,8.67,10.31,8.48,6.41,5.31,6.59
QV2M,1998,5,5,4.52,5.62,7.02,7.02,6.77,8.54,9.03,6.47,5.49,4.46,6.23
QV2M,1999,4.88,4.52,5.25,5.31,7.02,7.75,7.63,8.12,9.03,7.2,5.68,5.13,6.47
QV2M,2000,3.91,4.21,4.7,4.82,7.63,7.51,7.02,6.77,7.81,7.32,5.68,4.76,5.98
QV2M,2001,4.39,3.78,4.76,4.76,6.04,5.74,6.29,8.3,9.64,7.93,5.92,4.58,6.04
QV2M,2002,4.15,4.15,4.27,4.52,5.43,5.68,7.63,8.79,7.75,6.35,5.86,5.31,5.86
QV2M,2003,4.94,4.39,5.19,6.04,6.65,7.63,7.08,7.63,9.09,8.97,6.16,4.94,6.59
QV2M,2004,5.07,4.94,5.55,6.04,7.08,8.42,7.69,9.46,8.3,6.65,6.16,5.43,6.71
QV2M,2005,4.03,4.09,5.19,5.92,6.35,8.24,7.93,8.18,8.91,8.61,5.92,4.82,6.53
QV2M,2006,4.33,4.7,5.31,6.23,8,6.16,8.12,8.36,8.48,6.71,6.16,5.55,6.53
QV2M,2007,4.88,5.07,4.76,6.71,6.53,6.65,6.9,8.24,9.64,7.75,5,4.76,6.41
QV2M,2008,4.52,4.39,4.52,4.39,6.59,7.02,7.08,8.54,8.06,8.79,5.62,5,6.23
QV2M,2009,5.43,4.64,5.31,5.74,6.59,7.63,8.12,8.24,10.25,7.14,5.13,5.37,6.65
QV2M,2010,4.94,5.07,4.94,6.71,6.29,7.75,7.63,8.48,8.61,6.53,5.92,4.39,6.47
QV2M,2011,4.7,4.39,5.25,6.29,7.39,8.12,8.42,7.93,8.67,8.06,6.47,5.25,6.77
QV2M,2012,4.52,3.72,4.76,5.68,6.35,7.32,6.9,7.2,7.57,7.14,6.84,4.82,6.04
QV2M,2013,4.64,3.97,5.37,5.43,6.59,6.53,8.06,7.87,8.91,7.81,5.62,5.07,6.35
QV2M,2014,4.7,4.7,5.07,5.19,6.29,7.14,7.26,8.06,8.54,6.53,5.74,5,6.23
QV2M,2015,4.39,4.27,4.76,5,5.31,7.08,6.9,9.77,8.85,8,6.1,4.58,6.29
QV2M,2016,4.58,4.46,4.03,5.86,5.8,6.77,7.2,7.87,8.67,7.81,5.86,5.86,6.23
QV2M,2017,4.21,4.64,4.39,5.86,7.32,7.81,6.84,7.63,8.12,7.2,4.82,4.7,6.1
QV2M,2018,4.58,4.33,5,5.49,7.26,6.96,7.02,9.7,8.67,7.57,5.74,4.94,6.47
QV2M,2019,4.52,3.78,4.21,5.74,6.47,6.47,7.39,8.79,10.31,7.51,5.8,5.37,6.35
QV2M,2020,4.39,4.27,5.49,7.08,6.53,7.51,7.81,7.57,10.01,5.86,6.23,5.19,6.47
QV2M,2021,4.7,4.46,4.39,5.43,7.51,7.32,6.77,7.14,8.48,6.96,5.92,5.07,6.23
QV2M,2022,3.97,4.27,5.25,5.37,6.1,5.92,7.63,8.36,8.42,7.32,5.49,5.74,6.16
RH2M,1981,62.5,58.25,48.19,40.94,31.62,31.44,29.62,29.19,39.69,40.69,52.31,62.5,43.81
RH2M,1982,58.81,62,48.25,48.12,42.25,29.56,20.75,26.19,37.25,43.19,64.88,67.06,45.56
RH2M,1983,57.88,56.38,48.62,37.81,33.69,28.12,21.31,26.81,31.88,41.19,53.81,59.69,41.31
RH2M,1984,62.38,54.44,46.38,38.88,29.44,24.88,20.38,27.44,34.81,49.19,56.88,63.75,42.38
RH2M,1985,63.31,52.06,51.12,37.19,37.75,25.69,20.31,23.19,35.38,45.06,55.81,63.31,42.5
RH2M,1986,63.31,56.88,52.62,40.31,32.69,28.81,24.56,22.75,33.44,51.56,55.38,65.12,43.88
RH2M,1987,61,57.81,50.56,37.5,33.75,28.19,24.19,23.5,27.38,39.56,51.5,60.5,41.19
RH2M,1988,59.88,50.06,43.69,35.25,29.44,32.88,21.38,24.12,34.19,42.44,57,63.25,41.12
RH2M,1989,61,52.06,42,39,30.38,32.94,24.69,26.88,37.25,46.94,51.12,61.12,42.06
RH2M,1990,66.94,52.62,50.38,46.25,47.69,33.38,27.5,38.25,31.56,37,58.75,62.81,46.06
RH2M,1991,63.5,57.88,53.56,46.19,39.25,32.5,24.12,27.69,40.81,50.88,54.38,64.44,46.19
RH2M,1992,68.56,57.44,55.31,45.62,42.62,31.19,31.38,27.25,35.31,38.75,55.25,64.06,46.06
RH2M,1993,59.12,61.38,49.88,39.5,34,29.62,25.12,23.62,33.94,38.38,57.75,62.19,42.75
RH2M,1994,62.94,50.5,44.31,38.25,25.06,23.94,20.19,21.88,38.38,56.69,56.56,62.12,41.69
RH2M,1995,62.12,53.44,48.62,38.12,28.81,30.19,25.69,27.38,42.44,50.25,52,65.56,43.69
RH2M,1996,66.25,58.75,56.94,47.31,41.12,40.06,32.5,29.31,40.81,44.12,52.12,61.25,47.5
RH2M,1997,62.19,48.62,41.25,47.56,32.62,24.56,23.88,29.75,49.12,51.19,58.94,66.5,44.62
RH2M,1998,65.62,56.12,44.56,40.5,40.69,28.19,22.56,28.44,37.62,43.81,53.56,62.25,43.62
RH2M,1999,66.19,62.44,52.12,39.38,33.38,27.31,24.62,24.38,35.12,38.31,52.56,67.31,43.5
RH2M,2000,59.31,51.56,43.56,34.38,35.19,31.44,23.38,23.56,34.75,50.75,53.31,56.81,41.44
RH2M,2001,58.94,49.19,37.5,35.38,32.81,21.62,19.62,27.19,39,39.31,53.44,62.75,39.69
RH2M,2002,59.25,48.12,38.44,33.25,29.81,21.75,25.31,30.81,33.69,39.19,54.81,62.69,39.75
RH2M,2003,66.38,59.75,51.81,44.81,36.06,28.31,20.69,24.5,40.19,52.75,57.88,65.5,45.62
RH2M,2004,64.94,57,50.94,47,44.94,36.94,26.5,31.25,37.94,38.12,62.31,69.31,47.25
RH2M,2005,61.81,60.19,48.75,43.56,31.62,32.19,25,28.75,39.81,49.81,55.25,67,45.19
RH2M,2006,66.12,61.5,49.81,41.5,38.88,26.75,25.75,28.25,40.81,37.69,55.94,66.38,44.88
RH2M,2007,60.81,55.88,46.75,50.38,36.44,25.94,23.38,27.44,41.19,47.19,49.75,60.12,43.69
RH2M,2008,60.38,51.81,42.12,30.06,35.25,29.44,21.44,27.88,35.88,54.12,59.06,67.88,42.94
RH2M,2009,69.44,62.19,54.62,51.88,38.12,30.06,24.5,26.62,50.12,45.94,47.88,61.31,46.81
RH2M,2010,61,55.25,44.88,45.81,37.94,31,23.75,26.75,36.94,42.06,55.06,54.12,42.81
RH2M,2011,61.25,55.12,52,42.81,40.81,34.81,26.31,25.56,35.5,52.62,59,63.75,45.75
RH2M,2012,61,55.12,47.31,41.81,32.06,24.44,20,22.19,33,41.25,56.56,60.88,41.25
RH2M,2013,59.06,52.12,46.69,38.5,36.5,28,25.69,27.88,37.94,41.25,52.75,64.88,42.56
RH2M,2014,61.62,54.56,51.06,35.25,32.81,30,23.81,25.38,33.44,36.94,49,63.56,41.38
RH2M,2015,59.12,55.69,46.81,32.25,26.44,28.19,22.5,31.88,37.19,46.81,53.5,55.56,41.25
RH2M,2016,56,48.81,41.44,39.81,29.88,25.75,23.19,27.31,37.31,41.19,53.12,67.5,40.94
RH2M,2017,62.81,51.62,39.38,42.19,33.5,29.5,21.94,24.19,36.12,45.88,48.62,62.94,41.5
RH2M,2018,58,55.62,46.5,37.12,39.62,28,19.62,33.62,33.5,48.75,54.69,58.69,42.75
RH2M,2019,63.38,48.12,40.94,42.5,37.62,23.19,22,27.31,43.06,43.56,57.56,60.75,42.44
RH2M,2020,57.62,43.31,49.81,48.25,31.56,28.62,24.44,22.88,43.06,37.56,51.88,61.5,41.69
RH2M,2021,57.81,46.88,43.12,37,37.25,25.12,19.38,20.31,30.88,42.88,55.44,62.5,39.88
RH2M,2022,55.5,48.5,50.69,39.25,31.94,19.06,22.25,24.94,31.5,39.06,46.44,54.88,38.62
WD10M,1981,326.44,331.94,327.62,35.5,18.19,83.88,107.94,81.12,61.12,19.88,334.19,313.31,352.5
WD10M,1982,346.38,331.75,339.5,350.12,115.94,109.75,119.56,111.81,112.75,356.12,348.5,317.88,27.19
WD10M,1983,324.19,52.19,328.44,85.5,71.31,93.94,116.88,102.12,111,23.88,333.69,331.62,37.94
WD10M,1984,326.62,330.5,338.69,9.69,334.69,114.38,127.81,118.5,62.56,355.44,30.62,330.31,6.94
WD10M,1985,328.69,350.94,323.31,3.69,18.25,114.31,131.69,119.94,106.19,112.25,336,349.06,44.69
WD10M,1986,320.75,313.12,326.62,332.94,122.56,103.25,99.31,120.81,71.44,40.88,350.81,325.06,3.12
WD10M,1987,331.69,324.56,340.25,66.38,7.56,102.31,120.5,125.25,128.44,98.5,330,30.94,68.25
WD10M,1988,349.38,335.44,321.25,10.12,66.94,103.12,119.75,124.06,112.81,101.44,70.38,325.38,40.06
